model_ratio,accuracy,precision,recall
6.1000000000000005,0.6111111111111112,0.5,0.8857142857142857
6.2,0.5888888888888889,0.48333333333333334,0.8285714285714286
6.300000000000001,0.7111111111111111,0.5789473684210527,0.9428571428571428
6.4,0.6,0.4925373134328358,0.9428571428571428
6.5,0.5777777777777777,0.47692307692307695,0.8857142857142857
6.6000000000000005,0.6333333333333333,0.5166666666666667,0.8857142857142857
6.7,0.6555555555555556,0.5344827586206896,0.8857142857142857
6.800000000000001,0.6444444444444445,0.5263157894736842,0.8571428571428571
6.9,0.6555555555555556,0.5344827586206896,0.8857142857142857
7.0,0.6222222222222222,0.5084745762711864,0.8571428571428571
7.1000000000000005,0.6111111111111112,0.5,0.9142857142857143
7.2,0.5777777777777777,0.47692307692307695,0.8857142857142857
7.300000000000001,0.7444444444444445,0.6153846153846154,0.9142857142857143
7.4,0.6111111111111112,0.5,0.8857142857142857
7.5,0.6333333333333333,0.515625,0.9428571428571428
7.6000000000000005,0.6444444444444445,0.5272727272727272,0.8285714285714286
7.7,0.6444444444444445,0.5245901639344263,0.9142857142857143
7.800000000000001,0.6333333333333333,0.5172413793103449,0.8571428571428571
7.9,0.7222222222222222,0.5892857142857143,0.9428571428571428
8.0,0.6222222222222222,0.5084745762711864,0.8571428571428571
8.1,0.6222222222222222,0.5084745762711864,0.8571428571428571
8.200000000000001,0.6111111111111112,0.5,0.9142857142857143
8.3,0.6,0.49230769230769234,0.9142857142857143
8.4,0.6666666666666666,0.543859649122807,0.8857142857142857
8.5,0.5555555555555556,0.4603174603174603,0.8285714285714286
8.6,0.7444444444444445,0.6304347826086957,0.8285714285714286
8.700000000000001,0.5444444444444444,0.453125,0.8285714285714286
8.8,0.7,0.5689655172413793,0.9428571428571428
8.9,0.7222222222222222,0.5925925925925926,0.9142857142857143
9.0,0.6666666666666666,0.543859649122807,0.8857142857142857
9.1,0.6222222222222222,0.5084745762711864,0.8571428571428571
9.200000000000001,0.6888888888888889,0.5686274509803921,0.8285714285714286
9.3,0.6,0.4918032786885246,0.8571428571428571
9.4,0.7,0.5740740740740741,0.8857142857142857
9.5,0.6111111111111112,0.5,0.9142857142857143
9.600000000000001,0.6555555555555556,0.5384615384615384,0.8
9.700000000000001,0.6777777777777778,0.5555555555555556,0.8571428571428571
9.8,0.5888888888888889,0.4852941176470588,0.9428571428571428
9.9,0.7111111111111111,0.5882352941176471,0.8571428571428571
10.0,0.6888888888888889,0.5686274509803921,0.8285714285714286
